id,label,boat
1964,composite_deck,DEV6
2214,composite_deck,S1001
2215,composite_deck,S1002
2464,composite_deck,S1003
2511,composite_deck,S1003
2533,composite_deck,S1004
2535,composite_deck,S1004
2615,composite_deck,S1006
2534,composite_deck,S1005
1569,composite_hull,DEV6
1647,composite_hull,DEV6
1633,composite_hull,S1001
1762,composite_hull,S1001
1881,composite_hull,S1002
2013,composite_hull,S1002
2237,composite_hull,R&D
2451,composite_hull,S1003
2306,composite_hull,S1003
2497,composite_hull,S1004
2526,composite_hull,S1004
2567,composite_hull,S1005
1566,composite_subassembly,DEV6
1575,composite_subassembly,DEV6
1595,composite_subassembly,S1001
1625,composite_subassembly,S1001
1605,composite_subassembly,S1002
1626,composite_subassembly,S1002
2043,composite_subassembly,R&D
2247,composite_subassembly,R&D
2360,composite_subassembly,S1003
2361,composite_subassembly,S1003
2044,composite_subassembly,S1004
2321,composite_subassembly,S1004
2045,composite_subassembly,S1006
2569,composite_subassembly,S1006
2836,composite_subassembly,S1005
1963,composite_subassembly,DEV6
2137,composite_subassembly,S1001
2431,composite_subassembly,S1002
2471,composite_subassembly,S1003
2311,composite_subassembly,DEV6
2312,composite_subassembly,S1001
2370,composite_subassembly,S1003
1983,composite_subassembly,DEV6
1876,composite_subassembly,S1001
2440,composite_subassembly,S1002
2450,composite_subassembly,S1003
2617,composite_subassembly,S1004
2826,composite_subassembly,S1005
2637,composite_subassembly,S1006
2225,composite_subassembly,DEV6
2441,composite_subassembly,S1002
2448,composite_subassembly,S1003
2598,composite_subassembly,S1004
2616,composite_subassembly,S1005
2825,composite_subassembly,S1006
2357,composite_subassembly,DEV6
2438,composite_subassembly,S1002
2439,composite_subassembly,S1003
2618,composite_subassembly,S1004
2696,composite_subassembly,S1005
2827,composite_subassembly,S1006
2433,composite_subassembly,S1001
2434,composite_subassembly,S1002
2435,composite_subassembly,S1003
2436,composite_subassembly,S1004
2157,composite_subassembly,DEV6
2148,composite_subassembly,DEV6
2446,composite_subassembly,S1001
2848,composite_subassembly,S1003
2028,composite_hardtop,S1001
2279,composite_hardtop,S1002
2486,composite_hardtop,S1003
2847,composite_hardtop,S1004
2335,final_integration,DEV6
2461,final_integration,S1001
2639,final_integration,S1002
2338,interiors_subassembly,DEV6
2453,interiors_subassembly,S1001
2607,interiors_subassembly,S1002
2837,pigtail,S1003
2838,pigtail,S1003
2839,pigtail,S1003
2840,pigtail,S1003
2841,pigtail,S1003
2842,pigtail,S1003
2843,pigtail,S1003
2844,pigtail,S1003
2845,pigtail,S1003
2846,pigtail,S1003
2885,interiors_subassembly,S1003
2820,hull_integration,S1003
2818,mechanical_subassembly,S1004
2817,mechanical_subassembly,S1004
2815,mechanical_subassembly,S1003
2814,mechanical_subassembly,S1003
2812,mechanical_subassembly,S1003
2636,mechanical_subassembly,S1003
2635,mechanical_subassembly,S1003
2532,hull_integration,S1002
2507,mechanical_subassembly,S1002
2493,mechanical_subassembly,S1002
2487,mechanical_subassembly,S1001
2488,mechanical_subassembly,S1002
2489,mechanical_subassembly,S1003
2490,mechanical_subassembly,S1004
2491,mechanical_subassembly,S1005
2210,mechanical_subassembly,S1001
2211,mechanical_subassembly,DEV6
2151,hull_integration,DEV6
2152,hull_integration,S1001
2142,mechanical_subassembly,DEV5
2143,mechanical_subassembly,DEV6
2115,mechanical_subassembly,DEV5
2027,mechanical_subassembly,DEV5
2025,mechanical_subassembly,DEV6
2024,mechanical_subassembly,DEV5
2023,mechanical_subassembly,DEV5
2022,composite_subassembly,DEV5
1982,mechanical_subassembly,DEV5
1769,mechanical_subassembly,DEV6
1631,hull_integration,DEV5
1611,mechanical_subassembly,DEV5
1610,mechanical_subassembly,DEV5
1574,mechanical_subassembly,DEV5
1565,mechanical_subassembly,DEV4
1564,mechanical_subassembly,DEV4
1558,hull_integration,DEV4
1527,mechanical_subassembly,DEV4
1525,mechanical_subassembly,DEV4
1329,composite_subassembly,DEV3
1375,mechanical_subassembly,DEV3
1374,mechanical_subassembly,DEV3
2241,battery,S1001
2232,interiors_subassembly,DEV6
2242,battery,S1001
2355,battery,S1002
2356,battery,S1002
2400,deck_integration,S1001
2555,deck_integration,S1002
2638,deck_integration,S1003
2833,final_integration,S1002
2813,final_integration,S1002
2613,battery,S1004
2614,battery,S1004
2611,battery,S1004
2612,battery,S1005
2609,battery,S1004
2610,battery,S1005
2597,battery,S1003
2595,battery,S1003
2556,battery,S1003
2528,battery,S1003
2190,deck_integration,DEV6
1573,deck_integration,DEV5
1555,deck_integration,DEV4
2209,battery,TESTING
2208,battery,TESTING
2205,battery,DEV6
2207,battery,DEV6
2235,electrical_subassembly,S1001
2323,electrical_subassembly,S1001
2258,electrical_subassembly,S1001
2359,electrical_subassembly,S1002
2424,electrical_subassembly,S1002
2423,electrical_subassembly,S1002
2599,electrical_subassembly,S1003
2531,electrical_subassembly,S1003
2529,electrical_subassembly,S1003
2465,mechanical_subassembly,S1001
2458,mechanical_subassembly,S1001
2455,mechanical_subassembly,S1001
2454,mechanical_subassembly,S1001
2456,mechanical_subassembly,S1001
4370,mechanical_subassembly,S1001
2594,mechanical_subassembly,S1002
2822,mechanical_subassembly,S1002
2467,mechanical_subassembly,S1002
2468,mechanical_subassembly,S1002
2469,mechanical_subassembly,S1002
2470,mechanical_subassembly,S1002
2625,mechanical_subassembly,S1003
2626,mechanical_subassembly,S1003
2628,mechanical_subassembly,S1003
2624,mechanical_subassembly,S1003
2619,mechanical_subassembly,S1003
2566,electrical_subassembly,S1003
2117,pigtail,DEV6
2118,pigtail,DEV6
2119,pigtail,DEV6
2120,pigtail,DEV6
2121,pigtail,DEV6
2122,pigtail,DEV6
2123,pigtail,DEV6
2124,pigtail,DEV6
2125,pigtail,DEV6
2126,pigtail,DEV6
2127,pigtail,DEV6
2128,pigtail,DEV6
2129,pigtail,DEV6
2130,pigtail,DEV6
2131,pigtail,DEV6
2132,pigtail,DEV6
2133,pigtail,DEV6
2134,pigtail,DEV6
2135,pigtail,DEV6
2585,pigtail,DEV6
2430,pigtail,DEV6
2697,pigtail,DEV6
2263,pigtail,DEV6
2264,pigtail,DEV6
2265,pigtail,DEV6
2094,pigtail,DEV6
2095,pigtail,DEV6
2096,pigtail,DEV6
2097,pigtail,DEV6
2098,pigtail,DEV6
2099,pigtail,DEV6
2100,pigtail,DEV6
2101,pigtail,DEV6
2102,pigtail,DEV6
2103,pigtail,DEV6
2104,pigtail,DEV6
2266,pigtail,DEV6
1957,harness,DEV6
1948,harness,DEV6
2387,harness,DEV6
2388,harness,DEV6
2389,harness,DEV6
2390,harness,DEV6
2391,harness,DEV6
2392,harness,DEV6
2393,harness,DEV6
2394,harness,DEV6
2395,harness,DEV6
2396,harness,DEV6
1997,harness,DEV6
1989,harness,DEV6
1966,harness,DEV6
2005,harness,DEV6
2176,harness,DEV6
1886,harness,DEV6
2177,harness,DEV6
2178,harness,DEV6
2179,harness,DEV6
2180,harness,DEV6
2181,harness,DEV6
2182,harness,DEV6
2198,harness,DEV6
1840,harness,DEV6
2226,harness,DEV6
2219,harness,DEV6
1846,harness,DEV6
1852,harness,DEV6
2269,cable,DEV6
2268,cable,DEV6
2270,cable,DEV6
2271,cable,DEV6
2315,cable,DEV6
2280,cable,DEV6
2281,cable,DEV6
2282,cable,DEV6
2283,cable,DEV6
2284,cable,DEV6
2285,cable,DEV6
2565,cable,DEV6
2287,cable,DEV6
2288,cable,DEV6
2289,cable,DEV6
2290,cable,DEV6
2291,cable,DEV6
2292,cable,DEV6
2293,cable,DEV6
2294,cable,DEV6
2295,cable,DEV6
2296,cable,DEV6
2297,cable,DEV6
2298,cable,DEV6
2299,cable,DEV6
2300,cable,DEV6
2301,cable,DEV6
2302,cable,DEV6
2303,cable,DEV6
2304,cable,DEV6
2305,cable,DEV6
2524,pigtail,S1001
2429,pigtail,S1001
2267,pigtail,S1001
1958,harness,S1001
1949,harness,S1001
2473,harness,S1001
2474,harness,S1001
2475,harness,S1001
2476,harness,S1001
2477,harness,S1001
2478,harness,S1001
2479,harness,S1001
2480,harness,S1001
2481,harness,S1001
2482,harness,S1001
1998,harness,S1001
1990,harness,S1001
1967,harness,S1001
2006,harness,S1001
1887,harness,S1001
1888,harness,S1001
1903,harness,S1001
1904,harness,S1001
2183,harness,S1001
1920,harness,S1001
2184,harness,S1001
1936,harness,S1001
2199,harness,S1001
1841,harness,S1001
2227,harness,S1001
2220,harness,S1001
1847,harness,S1001
1853,harness,S1001
2313,cable,S1001
2273,cable,S1001
2274,cable,S1001
2275,cable,S1001
2379,cable,S1001
2380,cable,S1001
2381,cable,S1001
2382,cable,S1001
2383,cable,S1001
2384,cable,S1001
2386,cable,S1001
2401,cable,S1001
2402,cable,S1001
2403,cable,S1001
2404,cable,S1001
2405,cable,S1001
2406,cable,S1001
2407,cable,S1001
2408,cable,S1001
2409,cable,S1001
2410,cable,S1001
2411,cable,S1001
2412,cable,S1001
2413,cable,S1001
2414,cable,S1001
2415,cable,S1001
2420,cable,S1001
2426,cable,S1001
2427,cable,S1001
2527,pigtail,S1002
1959,harness,S1002
1950,harness,S1002
1999,harness,S1002
1991,harness,S1002
1968,harness,S1002
2007,harness,S1002
1889,harness,S1002
2185,harness,S1002
1905,harness,S1002
1906,harness,S1002
1921,harness,S1002
1922,harness,S1002
1937,harness,S1002
1938,harness,S1002
2200,harness,S1002
1842,harness,S1002
2228,harness,S1002
2221,harness,S1002
1848,harness,S1002
1854,harness,S1002
2498,cable,S1002
2499,cable,S1002
2500,cable,S1002
2316,cable,S1002
2558,cable,S1002
2559,cable,S1002
2560,cable,S1002
2561,cable,S1002
2562,cable,S1002
2563,cable,S1002
2564,cable,S1002
2536,cable,S1002
2537,cable,S1002
2538,cable,S1002
2539,cable,S1002
2540,cable,S1002
2541,cable,S1002
2542,cable,S1002
2543,cable,S1002
2544,cable,S1002
2545,cable,S1002
2546,cable,S1002
2547,cable,S1002
2548,cable,S1002
2549,cable,S1002
2550,cable,S1002
2551,cable,S1002
2552,cable,S1002
2553,cable,S1002
2600,pigtail,S1003
2586,pigtail,S1003
2587,pigtail,S1003
2588,pigtail,S1003
1960,harness,S1003
1951,harness,S1003
2712,harness,S1003
2713,harness,S1003
2714,harness,S1003
2715,harness,S1003
2716,harness,S1003
2717,harness,S1003
2718,harness,S1003
2719,harness,S1003
2720,harness,S1003
2721,harness,S1003
2000,harness,S1003
1992,harness,S1003
1969,harness,S1003
2008,harness,S1003
1891,harness,S1003
1892,harness,S1003
1907,harness,S1003
1908,harness,S1003
1923,harness,S1003
1924,harness,S1003
1939,harness,S1003
1940,harness,S1003
2201,harness,S1003
1843,harness,S1003
2229,harness,S1003
2222,harness,S1003
1849,harness,S1003
1855,harness,S1003
2503,cable,S1003
1961,harness,S1004
1952,harness,S1004
2001,harness,S1004
1993,harness,S1004
1970,harness,S1004
2009,harness,S1004
1893,harness,S1004
1894,harness,S1004
1909,harness,S1004
1910,harness,S1004
1925,harness,S1004
1926,harness,S1004
1941,harness,S1004
1942,harness,S1004
2202,harness,S1004
1844,harness,S1004
2230,harness,S1004
2223,harness,S1004
1850,harness,S1004
1856,harness,S1004
2811,cable,S1004
1962,harness,S1005
1953,harness,S1005
2002,harness,S1005
1994,harness,S1005
1971,harness,S1005
2010,harness,S1005
1895,harness,S1005
1896,harness,S1005
1911,harness,S1005
1912,harness,S1005
1927,harness,S1005
1928,harness,S1005
1943,harness,S1005
1944,harness,S1005
2203,harness,S1005
1845,harness,S1005
2231,harness,S1005
2224,harness,S1005
1851,harness,S1005
1857,harness,S1005
2570,pigtail,S1006
2571,pigtail,S1006
2572,pigtail,S1006
2573,pigtail,S1006
2574,pigtail,S1006
2575,pigtail,S1006
2576,pigtail,S1006
2577,pigtail,S1006
2698,pigtail,S1006
2699,pigtail,S1006
2700,pigtail,S1006
2578,pigtail,S1006
2579,pigtail,S1006
2580,pigtail,S1006
2581,pigtail,S1006
2583,pigtail,S1006
2584,pigtail,S1006
2589,pigtail,S1006
2701,pigtail,S1006
2702,pigtail,S1006
2703,pigtail,S1006
2704,pigtail,S1006
2705,pigtail,S1006
2706,pigtail,S1006
2707,pigtail,S1006
2708,pigtail,S1006
2709,pigtail,S1006
2710,pigtail,S1006
2711,pigtail,S1006
2723,harness,S1006
2731,harness,S1006
2739,harness,S1006
2746,harness,S1006
2753,harness,S1006
2760,harness,S1006
2640,harness,S1006
2641,harness,S1006
2654,harness,S1006
2655,harness,S1006
2668,harness,S1006
2669,harness,S1006
2682,harness,S1006
2683,harness,S1006
2767,harness,S1006
2774,harness,S1006
2781,harness,S1006
2788,harness,S1006
2795,harness,S1006
2803,harness,S1006
2724,harness,S2007
2732,harness,S2007
2740,harness,S2007
2747,harness,S2007
2754,harness,S2007
2761,harness,S2007
2642,harness,S2007
2643,harness,S2007
2656,harness,S2007
2657,harness,S2007
2670,harness,S2007
2671,harness,S2007
2684,harness,S2007
2685,harness,S2007
2768,harness,S2007
2775,harness,S2007
2782,harness,S2007
2789,harness,S2007
2796,harness,S2007
2804,harness,S2007
2725,harness,S2008
2733,harness,S2008
2741,harness,S2008
2748,harness,S2008
2755,harness,S2008
2762,harness,S2008
2644,harness,S2008
2645,harness,S2008
2658,harness,S2008
2659,harness,S2008
2672,harness,S2008
2673,harness,S2008
2686,harness,S2008
2687,harness,S2008
2769,harness,S2008
2776,harness,S2008
2783,harness,S2008
2790,harness,S2008
2797,harness,S2008
2805,harness,S2008
2726,harness,S2009
2734,harness,S2009
2742,harness,S2009
2749,harness,S2009
2756,harness,S2009
2763,harness,S2009
2646,harness,S2009
2647,harness,S2009
2660,harness,S2009
2661,harness,S2009
2674,harness,S2009
2675,harness,S2009
2688,harness,S2009
2689,harness,S2009
2770,harness,S2009
2777,harness,S2009
2784,harness,S2009
2791,harness,S2009
2798,harness,S2009
2806,harness,S2009
2727,harness,S2010
2735,harness,S2010
2743,harness,S2010
2750,harness,S2010
2757,harness,S2010
2764,harness,S2010
2648,harness,S2010
2649,harness,S2010
2662,harness,S2010
2663,harness,S2010
2676,harness,S2010
2677,harness,S2010
2690,harness,S2010
2691,harness,S2010
2771,harness,S2010
2778,harness,S2010
2785,harness,S2010
2792,harness,S2010
2799,harness,S2010
2807,harness,S2010
2728,harness,S2011
2736,harness,S2011
2744,harness,S2011
2751,harness,S2011
2758,harness,S2011
2765,harness,S2011
2650,harness,S2011
2651,harness,S2011
2664,harness,S2011
2665,harness,S2011
2678,harness,S2011
2679,harness,S2011
2692,harness,S2011
2693,harness,S2011
2772,harness,S2011
2779,harness,S2011
2786,harness,S2011
2793,harness,S2011
2800,harness,S2011
2808,harness,S2011
2729,harness,S2012
2737,harness,S2012
2745,harness,S2012
2752,harness,S2012
2759,harness,S2012
2766,harness,S2012
2652,harness,S2012
2653,harness,S2012
2666,harness,S2012
2667,harness,S2012
2680,harness,S2012
2681,harness,S2012
2694,harness,S2012
2695,harness,S2012
2773,harness,S2012
2780,harness,S2012
2787,harness,S2012
2794,harness,S2012
2801,harness,S2012
2809,harness,S2012
